,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_in9,BILL_AMT9,PAY_AMT9,default
0,20000,2,2,1,24,2,3913,0,1
1,120000,2,2,2,26,-1,2682,0,1
2,90000,2,2,2,34,0,29239,1518,0
3,50000,2,2,1,37,0,46990,2000,0
4,50000,1,2,1,57,-1,8617,2000,0
5,50000,1,1,2,37,0,64400,2500,0
6,500000,1,1,2,29,0,367965,55000,0
7,100000,2,2,2,23,0,11876,380,0
8,140000,2,3,1,28,0,11285,3329,0
9,200000,2,3,2,34,0,11073,2306,0
10,260000,2,1,2,51,-1,12261,21818,0
11,630000,2,2,2,41,-1,12137,1000,0
12,70000,1,2,2,30,1,65802,3200,1
13,250000,1,1,2,29,0,70887,3000,0
14,20000,1,1,2,24,0,15376,3200,1
15,320000,1,1,1,49,0,253286,10358,0
16,360000,2,1,1,49,1,0,0,0
17,180000,2,1,2,29,1,0,0,0
18,130000,2,3,2,39,0,38358,3000,0
19,120000,2,2,1,39,-1,316,316,1
20,70000,2,2,2,26,2,41087,2007,1
21,90000,1,1,2,23,0,4744,5757,0
22,50000,1,3,2,23,0,47620,1973,0
23,60000,1,1,2,27,1,-109,0,1
24,50000,2,3,2,30,0,22541,1300,0
25,50000,2,3,1,47,-1,650,3415,0
26,50000,1,1,2,26,0,15329,1500,0
27,230000,2,1,2,27,-1,16646,17270,0
28,50000,1,2,2,33,2,30518,1718,1
29,100000,1,1,2,32,0,93036,3023,0
30,160000,1,1,2,30,-1,30265,131,0
31,280000,1,2,1,40,0,186503,8026,0
32,60000,2,2,2,22,0,15054,1500,0
33,50000,1,1,2,25,1,0,780,1
34,280000,1,1,2,31,-1,498,9075,0
35,360000,1,1,2,33,0,218668,10000,0
36,70000,2,1,2,25,0,67521,3000,0
37,10000,1,2,2,22,0,1877,1500,0
38,140000,2,2,1,37,0,59504,3000,0
39,40000,2,1,2,30,0,18927,3000,0
40,20000,2,1,2,22,0,14028,3000,1
41,380000,1,2,2,32,-1,22401,21540,0
42,20000,1,1,2,24,0,17447,1318,0
43,70000,1,3,2,42,1,37042,0,1
44,180000,2,1,2,25,1,41402,1300,0
45,150000,2,1,2,29,2,46224,1600,0
46,180000,2,3,1,34,0,16386,8500,0
47,180000,2,2,1,34,0,175886,8083,0
48,200000,2,1,2,34,-1,1587,0,0
49,400000,2,2,1,29,0,400134,17000,0
50,500000,2,3,1,28,0,22848,1516,1
51,70000,1,2,1,39,0,70800,4025,0
52,50000,1,1,2,29,2,24987,0,1
53,50000,2,2,1,46,0,28718,1000,1
54,130000,2,2,1,51,-1,99,0,0
55,10000,1,2,1,56,2,2097,2300,1
56,210000,2,1,2,30,2,300,300,0
57,130000,2,3,2,29,1,-190,0,0
58,80000,1,1,2,31,-1,780,0,0
59,320000,1,2,2,29,2,58267,2500,1
60,200000,2,2,1,32,-1,9076,5818,0
